year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,44.357832781,12.8253384399,19.8735352939,62.5137583459,19.9336798384,27.6755703983,32.1196729619
2015,Alabama,24.5436247779,4.9969921608,10.1113110494,,,,12.33882898
2015,Alaska,45.450292556,16.9272365248,25.7018461138,32.4811481174,12.2263539282,,34.3737773867
2015,Arizona,54.4941339688,13.8789710455,24.6499358015,,16.4268885125,,41.627997468
2015,Arkansas,31.867953115,9.89155971169,16.8287095307,,,,22.609863767
2015,California,44.9139191825,15.1919838005,14.6259518797,58.4853835703,,47.1543904546,42.5460608958
2015,Colorado,52.8667609132,18.1552282169,18.7733821761,62.9915682043,,,35.0237578718
2015,Connecticut,47.8938228287,13.2785237747,16.4243970543,56.1123030218,,,31.9780166531
2015,Delaware,43.1533664424,12.6788547545,16.5611788791,73.5099119782,,,22.7086427538
2015,District of Columbia,74.2928956971,13.5964074807,16.5319684864,,,,19.9306484215
2015,DoDEA,50.0398730044,19.8634928421,32.3972708166,49.6999687144,,,37.601555678
2015,Florida,37.5657963484,11.1500910103,21.9503226314,54.2598104524,,,24.7150367568
2015,Georgia,41.5097333017,12.6662916912,18.6156703284,64.5877784457,,,31.4518683037
2015,Hawaii,38.6885791149,,25.5044451118,44.7133953401,,10.2152518846,34.8064502522
2015,Idaho,41.590274423,,14.9868887283,,,,33.4818457021
2015,Illinois,42.6096511254,11.835816188,21.4224315526,63.241891746,,,30.944335191
2015,Indiana,46.6470890335,10.6925355755,23.2949045568,,,,30.5555739606
2015,Iowa,42.5410312166,9.57472275274,17.6583414645,40.9913739111,,,29.7015940062
2015,Kansas,40.0462810009,14.8500667795,22.5835054325,,,,27.1407702231
2015,Kentucky,30.7552261701,11.5272170166,16.7949006271,,,,21.7957391802
2015,Louisiana,28.0843691843,6.4965755852,18.1833697011,,,,17.7891003469
2015,Maine,37.7273109547,12.9527788961,20.5544210254,,,,34.5660250204
2015,Maryland,49.9621147583,14.6962970003,21.9132657376,70.6075826438,,,28.1679746189
2015,Massachusetts,60.8528432291,22.0711509842,24.5720003185,74.7866085842,,,47.0461584525
2015,Michigan,35.2740614959,5.58818261172,14.4527509666,65.9300163915,24.6091042238,,22.9050606992
2015,Minnesota,57.5307433751,12.6709722499,24.0902509433,49.2770771653,12.728725011,,36.3267755456
2015,Mississippi,33.8970951445,10.1292988956,13.5086224878,,,,27.7243588078
2015,Missouri,37.9343739544,11.4859331962,16.5266994429,,,,29.3210452048
2015,Montana,44.7003654115,,24.4412143243,,10.0693892139,,36.4316118811
2015,Nebraska,46.8334550025,14.2363881128,18.1806658615,,,,29.5692872109
2015,Nevada,41.9282111403,9.60615447569,16.7975499213,56.4965908454,,,29.3187127629
2015,New Hampshire,48.8213102795,,24.5890578596,,,,47.8901915922
2015,New Jersey,56.9068793458,21.0005342218,25.3654300961,83.8469186285,,,49.0865288151
2015,New Mexico,37.5540714084,,16.1583686511,,12.9178973217,,
2015,New York,41.2434468365,15.2054293228,19.1196734685,57.3186672547,,,28.8553306544
2015,North Carolina,45.1621050806,15.9458847529,21.0158638505,62.5717140568,10.6815183173,,25.1976653231
2015,North Dakota,44.6527971431,16.2822211438,21.1506681691,,18.0021870266,,34.0947596782
2015,Ohio,42.0188921473,13.1771047333,19.3350728047,54.2229125103,,,29.5819334227
2015,Oklahoma,29.7180113764,5.15730744791,13.2859307316,,12.8734082464,,23.0534637987
2015,Oregon,43.2435795926,17.7180506476,15.511600604,57.165895481,,,33.4803870202
2015,Pennsylvania,46.3652095985,8.19275538261,16.949553247,71.0217877085,,,22.1082093955
2015,Rhode Island,42.4681968573,12.940601427,14.9156648909,48.6562278504,,,26.6562980885
2015,South Carolina,37.2738485682,9.15657608128,19.5352487062,,,,20.4237635373
2015,South Dakota,40.3910794104,,17.4302243351,,8.80745322214,,26.343531258
2015,Tennessee,35.119778609,9.22869333442,21.6930132016,,,,22.6073242194
2015,Texas,50.6093917142,17.5271761415,23.2754748244,66.260112338,,,34.8519570086
2015,Utah,43.1303536256,,14.7195349365,,10.9970650706,,
2015,Vermont,44.16265196,,31.7114986262,,,,35.6675539774
2015,Virginia,48.0166455907,12.878876616,26.1267821017,71.7193382094,,,30.8512383965
2015,Washington,49.1022246602,16.1167269978,21.2025621187,66.8659525342,22.1705065423,,42.3249724701
2015,West Virginia,21.9917464384,8.49448456565,8.72296499645,,,,21.8372347331
2015,Wisconsin,49.4059800114,7.99423103912,19.8445516771,,,,33.2616400369
2015,Wyoming,40.9534798026,,18.9527432146,,,,38.0590809689
