year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,293.178730031,260.503923676,270.133036599,309.54630682,266.956578385,274.282490408,282.75003142
2015,Alabama,277.715881612,247.019421462,257.535633457,,,,264.11418671
2015,Alaska,294.802260462,268.867040517,279.059427915,282.482862224,257.019928642,,285.142050168
2015,Arizona,299.778315823,262.848782853,274.865422413,,260.199408992,,288.662771704
2015,Arkansas,283.491814385,254.794326497,267.698058934,,,,275.383476832
2015,California,291.585429225,258.47918424,264.048513588,305.828237049,,294.828165548,289.767996002
2015,Colorado,300.365153377,265.066011706,268.9184829,308.94711984,,,285.779616267
2015,Connecticut,296.187794304,257.243698673,264.275520187,307.902998713,,,280.541102085
2015,Delaware,292.228401612,263.786132202,267.775163356,319.688997342,,,277.117993155
2015,District of Columbia,315.367295005,257.144442441,261.579921815,,,,268.823633043
2015,DoDEA,298.766412305,272.770885927,285.877455661,298.270721126,,,289.667187988
2015,Florida,287.025601718,259.028257218,271.79628251,298.169529232,,,276.298340842
2015,Georgia,291.126681057,264.198243753,268.164259941,315.248694077,,,282.976996643
2015,Hawaii,288.582301789,,277.831541632,292.274638831,,258.292099744,285.557815509
2015,Idaho,290.385590902,,267.079890979,,,,280.417291194
2015,Illinois,292.362445339,259.243598829,272.176329625,312.031113872,,,284.012682033
2015,Indiana,294.77375032,255.428561453,271.800404124,,,,284.236181238
2015,Iowa,291.793193096,255.383240298,266.587401803,289.858820861,,,281.321160885
2015,Kansas,290.536748608,265.723353239,273.35269622,,,,280.427524231
2015,Kentucky,281.612663446,255.673024513,268.112451613,,,,273.28217683
2015,Louisiana,280.962645164,254.60292062,266.406874427,,,,273.291574323
2015,Maine,287.502937499,255.858072039,268.593634885,,,,284.806134612
2015,Maryland,297.8334863,263.311907062,270.253967516,317.191448802,,,281.294073781
2015,Massachusetts,305.646249849,269.13846192,271.412155294,324.291033124,,,298.624157046
2015,Michigan,286.546604654,250.790678582,264.089156081,309.421435266,268.166336246,,273.383200799
2015,Minnesota,303.319619842,259.627769788,272.492231367,294.964798016,259.501570408,,285.543542901
2015,Mississippi,284.458014628,258.486252921,256.024788473,,,,277.793993865
2015,Missouri,287.559240913,259.668249165,264.879532934,,,,280.332470243
2015,Montana,293.031591354,,274.951893117,,256.121502261,,287.01795025
2015,Nebraska,295.508667188,254.261381322,268.663029829,,,,281.428958911
2015,Nevada,291.575781699,255.937974176,266.202766928,302.186399987,,,281.035379916
2015,New Hampshire,296.816113713,,274.522949386,,,,296.178742384
2015,New Jersey,302.54437075,271.554318386,273.232870816,332.269439087,,,297.972451107
2015,New Mexico,287.406008839,,267.247269279,,260.147913115,,
2015,New York,290.777534078,264.350057974,268.550874396,303.800310439,,,279.130781311
2015,North Carolina,294.460295323,262.844998601,270.498711035,311.753844722,254.802977557,,274.965858991
2015,North Dakota,293.784698634,261.992705464,273.344569267,,261.003015857,,286.673096341
2015,Ohio,292.307108641,261.63048757,265.484160091,300.865403224,,,281.701529478
2015,Oklahoma,281.369284531,256.464658082,264.927148959,,263.24421519,,275.861628379
2015,Oregon,290.821889701,258.497417155,267.017410322,308.923157087,,,283.940857011
2015,Pennsylvania,294.153999637,253.779474118,265.794528653,318.500327446,,,271.408598736
2015,Rhode Island,291.351422728,259.098888042,266.366784903,295.772633317,,,279.319245948
2015,South Carolina,288.515168242,257.043434137,268.484496186,,,,273.774032325
2015,South Dakota,291.415874448,,269.003744243,,258.607774355,,280.814714413
2015,Tennessee,285.600488816,252.937674479,270.473195965,,,,274.710377704
2015,Texas,299.102113619,268.936783269,276.665574271,311.685379995,,,288.077770298
2015,Utah,292.18690786,,261.555494972,,240.394047459,,
2015,Vermont,292.092853765,,281.511894748,,,,284.060648054
2015,Virginia,296.723584177,266.155187772,277.037308256,317.434266296,,,283.589633938
2015,Washington,295.708984221,256.380980322,269.930945794,314.569393016,267.861186251,,292.380899904
2015,West Virginia,273.299883162,258.184011731,258.366005588,,,,272.312665404
2015,Wisconsin,297.838758911,249.54710624,269.331747269,,,,284.286636469
2015,Wyoming,291.66170142,,273.455123001,,,,289.639014776
