year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,46.4679917515,19.3355635133,25.0958097886,58.9188452085,26.8411865784,24.9485778683,44.3161900064
2015,Alabama,37.873407538,15.6832393291,20.8940152757,,,,35.3381541032
2015,Alaska,42.3429638698,24.5248497834,28.0730181244,22.9441953051,10.5415813738,21.8325201917,30.5600456028
2015,Arizona,39.8505790664,25.1533685713,22.2376947578,,16.8897677101,,48.0716669416
2015,Arkansas,38.2856478741,18.2458767468,25.3661783138,,31.2480606732,,33.2201685731
2015,California,40.4327704553,11.4728272327,19.7592331732,52.0445162881,19.0641074538,21.6584757277,47.9123751445
2015,Colorado,49.9835836923,30.2884566599,25.9140844278,,,,51.0892028782
2015,Connecticut,57.0412216019,18.9761437161,25.7627927262,56.6641709216,,,46.5575811002
2015,Delaware,50.8557233721,21.8776699,24.625112129,62.2839866727,,,47.0120776363
2015,District of Columbia,70.2083764648,19.3282887103,20.376448014,,,,39.7977987791
2015,DoDEA,51.2378838368,34.9024883832,42.2189944091,53.6613142025,,40.5366915432,55.0863704116
2015,Florida,50.8220661864,21.0534023317,33.7093973109,59.6493595927,34.0378850627,,41.1197496321
2015,Georgia,45.8552687902,21.2441034298,24.2779709362,55.1741832105,,,47.3735830024
2015,Hawaii,39.4537411726,15.9684042296,29.371469305,44.1174512578,,16.288384098,40.4411469088
2015,Idaho,41.4505822382,,25.2548795731,,30.8936930266,,35.3149785297
2015,Illinois,47.8697356113,17.6027162354,24.5294344849,69.5335069279,,,46.4928932657
2015,Indiana,46.1135659188,23.624655689,29.0824383574,,,,43.0354101097
2015,Iowa,44.1741613406,19.1172542939,24.6293446459,,29.4826371646,,36.3242153968
2015,Kansas,45.3754365913,18.8963842489,21.3578980028,44.5808711226,23.892009401,,35.0935361077
2015,Kentucky,44.6624318187,24.934139193,32.9968765669,,26.345778284,,40.4563892747
2015,Louisiana,38.1108851302,18.2986975364,20.4437182885,,,,46.8438850995
2015,Maine,37.6240158052,18.5824676504,29.7693338078,,23.5411794045,,42.4403828485
2015,Maryland,51.4648001479,19.324540683,25.1277870762,61.9553908051,32.3561724767,,46.9705453019
2015,Massachusetts,58.2285635039,23.4376598794,30.2979343553,75.3505837552,,,61.2059374506
2015,Michigan,35.1965859695,10.478980142,16.0164597659,51.6069991564,21.921697974,,35.4316160352
2015,Minnesota,48.0099002455,19.5175662067,24.7619545742,35.6144977769,16.641488004,,32.7148359676
2015,Mississippi,38.3266941353,15.5343431029,17.8854807879,,,,32.5907091713
2015,Missouri,43.6703345385,17.615877441,27.4415341102,,,,38.3086589932
2015,Montana,42.4870104093,,26.7673633135,,17.6983032674,,43.7012709548
2015,Nebraska,48.4188305518,23.5292419366,24.3990724764,,22.9224522851,,44.0553648734
2015,Nevada,39.2100705653,16.5608588129,21.4959481508,49.4295390519,,,47.1885269223
2015,New Hampshire,48.3521828618,,35.8475758143,56.6391255161,,,60.8748642642
2015,New Jersey,53.0434931187,21.8065532138,30.4336874512,74.456215561,,,50.1744771265
2015,New Mexico,33.6880624729,8.64637869611,19.4234969237,,11.3787207039,,41.4528888709
2015,New York,47.3765405165,20.4640582069,23.4005853353,54.2063736752,27.0945254014,,44.3870974497
2015,North Carolina,52.2420468739,22.6403033065,25.6998668618,59.3970119746,25.5179012645,,44.7226345716
2015,North Dakota,41.8663798619,20.2911812453,26.8749451413,,19.606044904,,36.1667066918
2015,Ohio,44.0236267588,18.0863516057,29.8427649749,,30.0431496796,,36.964384096
2015,Oklahoma,38.4723489969,18.045640052,22.3619802831,,33.0038875176,,38.9935463768
2015,Oregon,40.8994057061,27.0105239343,20.9731523383,54.4914452997,32.9868539011,,39.2411440301
2015,Pennsylvania,49.8903671269,18.4968812902,25.4952716845,58.2013341224,,,45.944039737
2015,Rhode Island,49.2755278495,25.1704177361,27.6078638458,51.4988986215,,,39.2951539367
2015,South Carolina,46.2204675622,17.0481381623,24.1815957569,,,,40.6832390047
2015,South Dakota,41.7369863614,12.3347487714,23.0801460181,,14.3341667903,,35.2774112496
2015,Tennessee,41.277531324,17.1767412982,24.000190672,,,,39.9307552831
2015,Texas,42.1146977954,16.7211239849,24.7127826538,68.9471287593,34.7634377284,,34.7504449495
2015,Utah,45.0033704845,,19.2020751473,,,,
2015,Vermont,45.8709791181,,43.7571358847,,,,40.1539667091
2015,Virginia,52.3833428999,21.4754029281,32.213358673,67.15164269,,,49.1740445043
2015,Washington,48.814389605,23.2781400515,21.7516244227,70.2347609818,28.0185418642,37.282337468,51.3582189387
2015,West Virginia,31.4687501119,17.894815796,27.2463289143,,24.7040393125,,31.7451275841
2015,Wisconsin,45.4427380653,12.3507430796,24.1326056472,31.9022131086,21.8760343676,,40.3405639766
2015,Wyoming,46.3897078032,,32.5625535037,,24.2017551705,,45.8254039104
