year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,45.5748441047,15.4267456915,21.3758046483,55.1863986327,22.6569112935,27.3023067633,35.8560997161
2015,Alabama,33.658422769,12.0539888816,16.8934084035,,,,21.4363551465
2015,Alaska,45.9727126165,13.8764503607,30.6618582347,24.4667646165,8.58998353118,9.77207042261,38.6873924741
2015,Arizona,48.7195060137,18.1419900051,20.8591754035,,15.8478055445,,45.3084706343
2015,Arkansas,35.1310399049,8.38358704719,19.2450681676,,,,23.7882171415
2015,California,45.5966587314,15.8436402277,17.9111335058,49.4717902415,,,44.2583008339
2015,Colorado,51.9451793639,26.0828507842,22.3635894024,,,,33.9133456807
2015,Connecticut,54.5469988036,16.4678302079,26.5114502011,59.3439067012,,,38.1211634031
2015,Delaware,44.3223687586,15.950584465,18.2818033475,60.8996343876,,,28.067573388
2015,District of Columbia,73.6557984447,12.1667984304,16.3878967476,,,,20.9382908845
2015,DoDEA,53.3114524262,39.8177440381,41.1835729485,45.0791506013,,,48.3489730881
2015,Florida,41.8643004048,15.7230764523,26.1593393659,59.0278881019,,,25.4084478861
2015,Georgia,44.9761053552,14.606784236,19.734284323,53.2310623846,,,41.1591250123
2015,Hawaii,39.0446405845,,27.9744926277,31.4224821667,,9.10778001615,31.7014131932
2015,Idaho,44.5388425973,,21.6788887686,,,,30.7022678888
2015,Illinois,47.082206407,12.8472573568,22.3125233848,66.4232667286,,,39.4638579008
2015,Indiana,43.0541178129,20.708002919,24.7605798442,,,,27.2615026032
2015,Iowa,39.5481359861,16.2690536612,18.9507628742,,,,36.1291726753
2015,Kansas,42.0884881371,14.1623276081,20.8367866116,,,,30.0670129594
2015,Kentucky,39.6198665484,14.0849433968,26.5695964355,52.8805015899,,,38.4200892299
2015,Louisiana,34.0432449404,10.9089686171,21.5338618266,,,,29.1991960688
2015,Maine,37.6470228997,13.955772696,25.9528332694,,,,29.3539564479
2015,Maryland,50.6942581597,19.219323393,27.7436206558,68.6912468573,,,33.1151698133
2015,Massachusetts,55.1692980451,17.6327003619,22.0441999544,69.8913261944,,,39.1028452041
2015,Michigan,39.2155775735,9.18879884378,18.3120947148,52.5113209567,,,26.8659626191
2015,Minnesota,46.667543747,16.6717546199,25.8425275796,33.119976935,18.2742152663,,32.1688814323
2015,Mississippi,32.8695836215,8.03475122078,12.7276414466,,,,24.7423942103
2015,Missouri,43.1468147259,14.0586807105,24.5358650232,,,,29.2451505865
2015,Montana,43.8187511666,,22.445924552,,10.2979825169,,28.3118041343
2015,Nebraska,45.7521442989,14.0157765124,22.054598876,,,,30.1605581348
2015,Nevada,40.1405109252,14.0640950607,18.1468996234,54.6235621749,,,36.3812955429
2015,New Hampshire,47.1319146432,,30.3567799957,60.5945843908,,,40.3208735155
2015,New Jersey,49.9909592342,20.2948715142,24.476626822,71.9414866334,,,37.6396357073
2015,New Mexico,36.4037695528,,15.7021951731,,14.070704194,,31.6457025995
2015,New York,44.4187789212,16.7943867033,20.4339531645,47.6515972209,,,42.9728102386
2015,North Carolina,41.3174038434,13.0050536451,20.0834207085,56.5708757337,23.4172766783,,30.6811507765
2015,North Dakota,37.74915428,,20.5560971118,,15.4896527765,,33.9051586404
2015,Ohio,42.4929602749,14.7390182009,21.5791618499,,,,27.5470994916
2015,Oklahoma,35.4811371055,8.24456255027,23.1863262844,,22.7783169356,,27.3964174396
2015,Oregon,45.563042374,12.3568757772,18.5719668243,40.6823577022,19.6324327399,,39.508894081
2015,Pennsylvania,49.0127934766,12.5448192964,21.2674774405,63.450028919,,,28.9232440382
2015,Rhode Island,45.9236095535,16.1560955893,16.7535016087,47.0976456666,,,34.4367188976
2015,South Carolina,38.9189910243,11.0441114272,17.0221710532,,,,28.4443615148
2015,South Dakota,39.7184813319,21.705248385,17.1955891725,,16.5759769992,,29.5445722558
2015,Tennessee,39.3565808032,14.2366245981,19.0523512982,,,,35.1491510781
2015,Texas,44.1275812952,19.6846692714,18.8039849209,60.2787720598,,,34.2107605385
2015,Utah,42.7084396745,,19.6139750055,,14.2877875818,,39.5953634206
2015,Vermont,46.1500578012,,28.5678411942,,,,39.3784630983
2015,Virginia,46.2405158655,16.9617633617,22.5069674961,63.2102232856,,,27.47346527
2015,Washington,47.9395492287,21.0962430038,19.595497031,52.04175471,18.0799322036,,39.5351222219
2015,West Virginia,28.3803915078,17.8859457714,19.5108077939,,,,22.2449535055
2015,Wisconsin,45.9914661733,9.63178587187,21.2672034223,,20.1545267117,,30.3484360338
2015,Wyoming,42.3970380934,,22.1935154633,,10.5082081775,,26.4609726339
