year,state,ell,not ell
2015,National,14.4780597842,43.1054666859
2015,Alabama,,26.4638557333
2015,Alaska,6.33766983397,40.119236556
2015,Arizona,5.04684587343,41.4805774654
2015,Arkansas,19.6545557524,33.0018640325
2015,California,8.36451911325,37.2202141784
2015,Colorado,10.0205415528,47.9617699341
2015,Connecticut,11.7699290105,42.9746660607
2015,Delaware,8.47435119248,38.1944836596
2015,District of Columbia,8.91770897651,32.1371927361
2015,DoDEA,21.9261262173,51.6845245364
2015,Florida,13.2683099738,45.0158021046
2015,Georgia,6.14322627327,36.3138401179
2015,Hawaii,6.10499197353,40.6708843127
2015,Idaho,0.756503975271,39.9988680433
2015,Illinois,7.56544497135,39.8696408873
2015,Indiana,25.7331615104,51.6109264151
2015,Iowa,16.6638137695,46.4118711237
2015,Kansas,18.8367759755,44.8682231077
2015,Kentucky,15.6376537398,41.4388718053
2015,Louisiana,,29.8280154848
2015,Maine,9.36688431779,42.1755342353
2015,Maryland,15.4688218259,42.3460467026
2015,Massachusetts,17.3657647534,57.7630790295
2015,Michigan,15.7157583616,34.8255594871
2015,Minnesota,18.599122635,57.0982904911
2015,Mississippi,,29.9137227853
2015,Missouri,,39.0327026274
2015,Montana,2.96999582886,42.1759311095
2015,Nebraska,8.36814581002,48.3499707748
2015,Nevada,13.4261343204,37.8713668651
2015,New Hampshire,24.3484602559,52.2708252632
2015,New Jersey,,47.8350171403
2015,New Mexico,8.94548692538,30.485648998
2015,New York,8.88902098089,37.1418036861
2015,North Carolina,10.5433953075,46.6985285513
2015,North Dakota,,45.4180190619
2015,Ohio,17.0957549653,45.7917567856
2015,Oklahoma,11.7158677092,38.4304235425
2015,Oregon,7.7111002386,41.4555501376
2015,Pennsylvania,16.337345047,45.8609084873
2015,Rhode Island,7.87732628586,39.7882439924
2015,South Carolina,34.7425313199,36.1337860474
2015,South Dakota,,40.8639771648
2015,Tennessee,28.3186831365,40.7437067502
2015,Texas,28.4200936311,48.4962602753
2015,Utah,5.90944436031,45.3861922505
2015,Vermont,,43.580477967
2015,Virginia,11.6846139776,49.6931057337
2015,Washington,10.8083292466,52.4421023759
2015,West Virginia,,32.4837105914
2015,Wisconsin,18.7089739175,47.5479191477
2015,Wyoming,10.3008919898,49.6336808537
