year,state,ell,not ell
2015,National,246.157628324,284.481814533
2015,Alabama,,267.058727787
2015,Alaska,236.16157569,286.077496701
2015,Arizona,233.839846948,284.793306055
2015,Arkansas,254.808425002,276.631048785
2015,California,238.394254449,281.545189168
2015,Colorado,250.481659938,290.099385889
2015,Connecticut,232.728000413,285.771741324
2015,Delaware,,280.608950119
2015,District of Columbia,232.70384585,264.556717589
2015,DoDEA,266.549746277,291.83546742
2015,Florida,240.385550128,277.441171909
2015,Georgia,242.116626046,279.736767007
2015,Hawaii,239.106719807,282.178421505
2015,Idaho,,285.028397163
2015,Illinois,246.770636476,283.851368998
2015,Indiana,260.014450161,288.773801999
2015,Iowa,246.281337155,287.984317813
2015,Kansas,265.70318004,286.030753367
2015,Kentucky,,278.403739086
2015,Louisiana,,268.66209555
2015,Maine,,285.901721608
2015,Maryland,247.374039029,284.315646298
2015,Massachusetts,250.734580676,299.641523204
2015,Michigan,258.281737029,278.877174694
2015,Minnesota,252.466010423,297.005516155
2015,Mississippi,,270.706825693
2015,Missouri,,281.240442855
2015,Montana,,288.346255215
2015,Nebraska,,287.542035289
2015,Nevada,245.586374968,280.282878667
2015,New Hampshire,,295.418156646
2015,New Jersey,,294.269890309
2015,New Mexico,240.052385751,275.692301094
2015,New York,242.229717408,282.425551657
2015,North Carolina,247.129170173,283.056980882
2015,North Dakota,,289.124402461
2015,Ohio,235.469500635,286.595063976
2015,Oklahoma,245.1134089,276.104883493
2015,Oregon,,284.111204872
2015,Pennsylvania,234.071939446,284.7555863
2015,Rhode Island,233.317043303,283.939154889
2015,South Carolina,265.630703916,276.307591866
2015,South Dakota,,285.920750548
2015,Tennessee,,278.718115828
2015,Texas,256.087877834,286.87887539
2015,Utah,226.466647571,288.213217557
2015,Vermont,,290.939673856
2015,Virginia,259.024121895,289.169658507
2015,Washington,244.323728848,289.666337229
2015,West Virginia,,271.448842753
2015,Wisconsin,256.457538408,290.387145071
2015,Wyoming,,287.696894077
