year,state,ell,not ell
2015,National,121.359494675,157.630782378
2015,Alabama,,145.668218947
2015,Arizona,102.790081162,153.583610223
2015,Arkansas,136.104542753,151.612716292
2015,California,112.005833115,151.597074878
2015,Colorado,,
2015,Connecticut,119.796232937,156.795638222
2015,Delaware,120.450814298,151.770389949
2015,DoDEA,150.085636518,167.445910934
2015,Florida,132.317369138,160.845391986
2015,Georgia,121.21391942,153.719103345
2015,Hawaii,93.5109557642,149.914563316
2015,Idaho,105.285678443,158.003705954
2015,Illinois,115.098616575,154.983184164
2015,Indiana,135.798616748,160.396285036
2015,Iowa,131.898487152,161.074748367
2015,Kansas,133.026144423,157.646841223
2015,Kentucky,138.657901923,160.999851094
2015,Louisiana,,
2015,Maine,126.159699801,159.098485699
2015,Maryland,126.849694908,154.878735726
2015,Massachusetts,123.637112922,165.306863453
2015,Michigan,129.503535297,155.430158935
2015,Minnesota,118.604457179,161.530310772
2015,Mississippi,,140.530551877
2015,Missouri,,155.726996145
2015,Montana,120.010427699,160.164857736
2015,Nebraska,128.164936027,164.297418422
2015,Nevada,121.604589478,147.961628971
2015,New Hampshire,136.702916393,166.379882721
2015,New Jersey,,155.906956239
2015,New Mexico,113.945711894,148.362735404
2015,New York,109.840202935,152.918354102
2015,North Carolina,122.504493066,155.446727543
2015,North Dakota,,161.757969676
2015,Ohio,134.383421636,158.23754407
2015,Oklahoma,125.258303881,155.415766824
2015,Oregon,117.894484753,158.378341307
2015,Pennsylvania,,
2015,Rhode Island,110.722490435,155.722652601
2015,South Carolina,146.608366339,156.230527397
2015,South Dakota,123.198378836,157.828225571
2015,Tennessee,139.297935147,157.447582106
2015,Texas,131.943694057,161.302694383
2015,Utah,108.83229521,162.079559058
2015,Vermont,,163.490190686
2015,Virginia,134.60085515,166.933924222
2015,Washington,123.204098032,162.549225994
2015,West Virginia,,150.910675947
2015,Wisconsin,133.460350649,158.233947883
2015,Wyoming,122.766058528,162.61845164
